"","X","id","scenario","decider","acceptance","agreement","importance","age","gender","duration","trust","voter_influence","big5_agreeableness","big5_extraversion","big5_neuroticism","big5_conscientiousness","big5_openness","date_time","last_access","swing_voter","voting_intention","voting_pref","voting_pref_strength","one_party"
"29",29,268,"nuclear_energy","referendum",-2.66666674613953,1,4,22,"female",551,0.666666686534882,"some influence",3.33333325386047,2,4,4,3.5,"2011-03-18 14:13:36","2011-03-18 14:22:47",1,"Greens","no favoured party",0,0
"30",30,129,"central_exam","SPD",0.333333343267441,2,2,38,"male",677,0.333333343267441,"strong influence",3.33333325386047,3,2,4,5,"2011-03-17 23:43:03","2011-03-17 23:54:20",1,"SPD","other",1,0
"31",31,232,"central_exam","SPD",-1.5,1,4,41,"female",1375,-0.333333343267441,"almost no influence",3,3,3.5,3.5,3.5,"2011-03-18 13:01:52","2011-03-18 13:24:47",NA,"Greens","Greens",2,0
"32",32,296,"religious_education","CDU",-3,1,5,28,"male",466,0,"some influence",2.33333325386047,5,1.5,5,4,"2011-03-18 15:43:23","2011-03-18 15:51:09",1,"Pirate Party","other",5,0
"33",33,887,"nuclear_energy","experts",-2.83333325386047,1,4,53,"female",1152,1,"some influence",3.33333325386047,3,4,3,4.5,"2011-03-23 15:03:36","2011-03-23 15:22:48",0,"Greens","Greens",4,1
"34",34,222,"nuclear_energy","party general",-2,2,4,65,"female",390,1.33333337306976,"strong influence",3.33333325386047,5,1,4,4.5,"2011-03-18 12:34:13","2011-03-18 12:40:43",0,"CDU","FDP",4,1
"35",35,350,"nuclear_energy","SPD",-3,1,5,48,"male",1353,1.66666662693024,"strong influence",3.66666674613953,3.5,3,4.5,5,"2011-03-18 18:14:30","2011-03-18 18:37:03",1,"CDU","CDU",4,0
"36",36,439,"central_exam","CDU",-0.333333343267441,2,1,59,"female",924,0.666666686534882,"some influence",2.66666674613953,2.5,3,3,2.5,"2011-03-19 13:02:31","2011-03-19 13:17:55",1,"I would not vote","CDU",3,0
"37",37,215,"religious_education","experts",-2.5,1,4,53,"female",879,2,"some influence",3.66666674613953,5,3,5,3,"2011-03-18 12:16:44","2011-03-18 12:31:23",1,"CDU","CDU",4,1
"38",38,283,"nuclear_energy","party general",-2.16666674613953,1,5,57,"male",680,0.333333343267441,"almost no influence",2,2.5,3,1.5,3,"2011-03-18 15:05:06","2011-03-18 15:16:26",1,"Pirate Party","other",4,1
"39",39,569,"religious_education","referendum",-0.833333313465118,2,3,34,"male",915,-0.333333343267441,"almost no influence",3,2,5,3.5,3.5,"2011-03-21 15:42:55","2011-03-21 15:58:10",0,"CDU","CDU",5,1
"40",40,147,"central_exam","party general",-0.333333343267441,2,3,26,"female",561,1,"some influence",3.66666674613953,2,2,3.5,3,"2011-03-18 09:04:15","2011-03-18 09:13:36",1,"Greens","Greens",4,1
"41",41,605,"religious_education","CDU",-0.833333313465118,1,3,33,"male",695,0.333333343267441,"some influence",3,2,3,4,2,"2011-03-21 17:38:46","2011-03-21 17:50:21",0,"CDU","CDU",3,1
"42",42,546,"central_exam","party general",-1,2,1,36,"female",610,0,"almost no influence",3.33333325386047,2.5,3,4,2,"2011-03-21 13:14:21","2011-03-21 13:24:31",0,"CDU","CDU",5,1
"43",43,357,"nuclear_energy","CDU",-3,1,5,57,"female",372,0.666666686534882,"some influence",3,4,1.5,5,4.5,"2011-03-18 18:59:44","2011-03-18 19:05:56",1,"Left Party","Left Party",4,1
"44",44,129,"religious_education","SPD",-0.333333343267441,2,3,38,"male",677,0.333333343267441,"strong influence",3.33333325386047,3,2,4,5,"2011-03-17 23:43:03","2011-03-17 23:54:20",1,"SPD","other",1,0
"45",45,178,"nuclear_energy","experts",-1.5,2,4,59,"male",488,1,"strong influence",3.33333325386047,4,4.5,3.5,4.5,"2011-03-18 11:30:29","2011-03-18 11:38:37",0,"CDU","CDU",5,1
"46",46,468,"religious_education","referendum",-1.16666662693024,1,5,40,"male",720,0,"strong influence",2.66666674613953,3,2,4.5,3,"2011-03-19 22:30:56","2011-03-19 22:42:56",1,"SPD","SPD",3,1
"47",47,544,"nuclear_energy","experts",-0.333333343267441,2,3,33,"male",488,1,"some influence",4,3.5,4,4,4,"2011-03-21 12:55:10","2011-03-21 13:03:18",1,"Pirate Party","SPD",2,0
"48",48,835,"nuclear_energy","CDU",-2.83333325386047,1,4,60,"female",472,1.33333337306976,"some influence",3.33333325386047,3,3,3.5,3.5,"2011-03-23 07:35:57","2011-03-23 07:43:49",0,"SPD","SPD",4,1
"49",49,643,"religious_education","CDU",-1.33333337306976,1,3,38,"female",434,1,"almost no influence",3.66666674613953,2.5,2,3.5,4,"2011-03-21 19:18:33","2011-03-21 19:25:47",1,"Ecological Party","other",1,0
"50",50,834,"central_exam","referendum",-1,2,4,43,"female",688,1,"some influence",4.33333349227905,4.5,2,4.5,3.5,"2011-03-23 07:32:53","2011-03-23 07:44:21",0,"CDU","CDU",4,1
"51",51,51,"central_exam","party general",-0.333333343267441,1,1,38,"female",323,-0.666666686534882,"some influence",4.66666650772095,3,4,3.5,4,"2011-03-17 17:18:57","2011-03-17 17:24:20",0,"Left Party","Left Party",5,0
"52",52,504,"central_exam","referendum",-0.5,2,3,30,"female",811,1,"some influence",3.66666674613953,3,4,3.5,2,"2011-03-20 17:59:53","2011-03-20 18:13:24",1,"FDP","FDP",3,1
"53",53,701,"nuclear_energy","experts",-1,1,2,44,"female",531,0.333333343267441,"almost no influence",3.66666674613953,2.5,2,4.5,3,"2011-03-22 07:20:13","2011-03-22 07:29:04",0,"SPD","SPD",4,1
"54",54,567,"religious_education","experts",-0.666666686534882,2,1,43,"male",355,0.666666686534882,"strong influence",2.66666674613953,3,3,3.5,3.5,"2011-03-21 15:42:33","2011-03-21 15:48:29",1,"SPD","CDU",3,1
"55",55,589,"religious_education","party general",-0.16666667163372,1,1,31,"female",443,1.33333337306976,"some influence",2.66666674613953,2.5,3,4.5,5,"2011-03-21 16:50:51","2011-03-21 16:58:14",1,"SPD","no favoured party",0,0
"56",56,828,"central_exam","CDU",-1.83333337306976,1,4,40,"female",2280,1,"almost no influence",3.66666674613953,3.5,3,4,4,"2011-03-23 05:48:54","2011-03-23 06:26:54",0,"SPD","SPD",3,0
"57",57,786,"central_exam","referendum",-2.33333325386047,1,5,46,"female",457,0.666666686534882,"strong influence",2.33333325386047,5,2,4.5,3.5,"2011-03-22 17:18:21","2011-03-22 17:25:58",0,"Greens","Greens",5,1
"58",58,325,"central_exam","experts",-0.333333343267441,2,3,50,"male",683,0.666666686534882,"strong influence",3,4,2,5,3,"2011-03-18 16:54:48","2011-03-18 17:06:11",1,"Greens","SPD",3,1
"59",59,659,"central_exam","referendum",0,2,1,28,"male",784,0.333333343267441,"almost no influence",4,3,2.5,4,3,"2011-03-21 20:01:19","2011-03-21 20:14:23",1,"Pirate Party","no favoured party",0,0
"60",60,491,"central_exam","CDU",-1.16666662693024,1,2,23,"female",493,0.666666686534882,"some influence",3,3,2,3,4,"2011-03-20 12:57:42","2011-03-20 13:05:55",0,"SPD","SPD",3,1
"61",61,223,"central_exam","CDU",-0.333333343267441,2,3,50,"male",709,1,"some influence",2.66666674613953,4,2,3,4,"2011-03-18 12:35:14","2011-03-18 12:47:03",0,"SPD","SPD",4,1
"62",62,826,"central_exam","CDU",-1.83333337306976,2,1,49,"female",635,0.333333343267441,"almost no influence",3.33333325386047,4,4.5,5,4,"2011-03-23 05:35:30","2011-03-23 05:46:05",1,"Greens","no favoured party",0,0
"63",63,80,"religious_education","experts",-0.16666667163372,2,4,32,"female",842,-0.333333343267441,"some influence",2.33333325386047,4.5,1.5,3,5,"2011-03-17 19:01:23","2011-03-17 19:15:25",0,"CDU","CDU",4,1
"64",64,694,"religious_education","SPD",-0.333333343267441,2,2,47,"male",634,1,"don't know",3.33333325386047,3,2.5,4,3,"2011-03-22 06:14:57","2011-03-22 06:25:36",0,"SPD","SPD",4,1
"65",65,896,"central_exam","referendum",-1.33333337306976,2,3,50,"female",1083,1.33333337306976,"some influence",3.33333325386047,3,2.5,4,4,"2011-03-23 16:09:09","2011-03-23 16:27:13",1,"Free Voters","SPD",3,0
"66",66,94,"nuclear_energy","referendum",-0.16666667163372,1,3,44,"male",380,1.33333337306976,"almost no influence",3.33333325386047,3,1,3,4.5,"2011-03-17 19:37:35","2011-03-17 19:43:55",1,"I would not vote","no favoured party",0,0
"67",67,60,"nuclear_energy","CDU",-2.33333325386047,1,5,40,"female",487,1,"some influence",4,4,2,4,4,"2011-03-17 17:42:44","2011-03-17 17:50:51",0,"SPD","SPD",5,1
"68",68,128,"central_exam","CDU",-2.33333325386047,1,5,18,"female",668,1,"strong influence",4,4,3,5,4.5,"2011-03-17 23:41:40","2011-03-17 23:52:49",0,"SPD","SPD",5,0
"69",69,137,"religious_education","referendum",-0.5,2,3,42,"female",661,0.333333343267441,"don't know",3.33333325386047,3,4,3.5,3.5,"2011-03-18 07:45:20","2011-03-18 07:56:21",1,"Free Voters","other",1,0
"70",70,786,"religious_education","referendum",-0.666666686534882,2,2,46,"female",457,0.666666686534882,"strong influence",2.33333325386047,5,2,4.5,3.5,"2011-03-22 17:18:21","2011-03-22 17:25:58",0,"Greens","Greens",5,1
"71",71,800,"religious_education","CDU",0,2,2,47,"female",1502,1,"some influence",3.33333325386047,4,3.5,4,3,"2011-03-22 18:24:18","2011-03-22 18:49:20",1,"Greens","Greens",4,0
"72",72,110,"religious_education","experts",-1.16666662693024,1,5,28,"female",916,1.66666662693024,"strong influence",2.33333325386047,4.5,2.5,4,3.5,"2011-03-17 21:10:31","2011-03-17 21:25:52",0,"SPD","SPD",5,1
"73",73,785,"religious_education","referendum",-2,1,5,18,"male",566,0,"almost no influence",3.33333325386047,3.5,1.5,3,4,"2011-03-22 17:08:44","2011-03-22 17:18:10",1,"Pirate Party","other",3,1
"74",74,814,"nuclear_energy","referendum",-1,2,5,50,"female",998,1,"strong influence",4,3.5,2.5,4.5,3,"2011-03-22 20:15:17","2011-03-22 20:32:01",0,"Left Party","Left Party",4,1
"75",75,374,"nuclear_energy","referendum",-2.5,1,5,44,"male",632,0.666666686534882,"some influence",2.66666674613953,2,3.5,3,1.5,"2011-03-18 20:28:08","2011-03-18 20:38:40",0,"Pirate Party","CDU",3,1
"76",76,640,"religious_education","party general",0,2,2,39,"female",610,0.333333343267441,"some influence",3.66666674613953,2,2.5,3.5,3.5,"2011-03-21 19:15:00","2011-03-21 19:25:10",1,"Greens","SPD",3,1
"77",77,61,"nuclear_energy","experts",-2.33333325386047,1,5,29,"female",256,0.333333343267441,"some influence",3,3,3,3,3,"2011-03-17 17:42:46","2011-03-17 17:47:02",1,"Left Party","FDP",1,0
"78",78,784,"nuclear_energy","party general",-1.5,2,4,40,"female",546,1,"some influence",3,4,4,4,2.5,"2011-03-22 17:08:08","2011-03-22 17:17:14",0,"CDU","CDU",4,1
"79",79,811,"central_exam","referendum",-2,2,4,59,"female",494,0.333333343267441,"some influence",3.33333325386047,2,3,4,2,"2011-03-22 19:38:29","2011-03-22 19:46:43",0,"SPD","SPD",4,1
"80",80,112,"religious_education","experts",-1.5,1,3,55,"male",449,1,"some influence",3.33333325386047,2.5,2,3,3,"2011-03-17 21:15:32","2011-03-17 21:23:01",0,"CDU","CDU",4,1
"81",81,783,"central_exam","referendum",-1.33333337306976,1,4,54,"female",843,1.33333337306976,"some influence",4,2,3,3.5,2,"2011-03-22 17:02:04","2011-03-22 17:16:07",NA,"SPD","SPD",3,1
"82",82,152,"nuclear_energy","SPD",-0.833333313465118,1,3,19,"female",498,1,"some influence",2.33333325386047,3,2,3,4.5,"2011-03-18 09:47:21","2011-03-18 09:55:39",0,"Pirate Party","other",4,1
"83",83,589,"central_exam","party general",-1.16666662693024,2,3,31,"female",443,1.33333337306976,"some influence",2.66666674613953,2.5,3,4.5,5,"2011-03-21 16:50:51","2011-03-21 16:58:14",1,"SPD","no favoured party",0,0
"84",84,76,"central_exam","CDU",-2.33333325386047,1,5,30,"female",750,0.333333343267441,"some influence",3.66666674613953,3,4,4,4,"2011-03-17 18:51:46","2011-03-17 19:04:16",0,"SPD","Left Party",3,0
"85",85,803,"religious_education","party general",0.666666686534882,1,4,53,"female",1064,0.333333343267441,"some influence",2.66666674613953,2.5,4,4.5,4.5,"2011-03-22 18:55:26","2011-03-22 19:13:10",0,"CDU","CDU",5,1
"86",86,801,"nuclear_energy","CDU",0.333333343267441,2,2,64,"female",644,0.333333343267441,"strong influence",3.66666674613953,2,4,4,4,"2011-03-22 18:28:44","2011-03-22 18:39:28",0,"CDU","CDU",5,1
"87",87,108,"central_exam","experts",-3,1,5,28,"male",704,0.666666686534882,"strong influence",3,3.5,2,4,4,"2011-03-17 20:48:40","2011-03-17 21:00:24",1,"Pirate Party","SPD",3,1
"88",88,625,"central_exam","experts",0,2,2,44,"male",884,0,"some influence",2.33333325386047,2.5,3.5,3.5,3,"2011-03-21 18:27:03","2011-03-21 18:41:47",1,"Pirate Party","other",3,0
"89",89,313,"nuclear_energy","party general",-2.33333325386047,1,5,64,"male",537,0.333333343267441,"almost no influence",3,4,2.5,3,3.5,"2011-03-18 16:25:03","2011-03-18 16:34:00",1,"SPD","SPD",3,1
"90",90,386,"central_exam","experts",-0.333333343267441,2,4,43,"male",441,0.333333343267441,"some influence",3,4.5,1.5,3.5,3,"2011-03-18 22:18:38","2011-03-18 22:25:59",0,"Pirate Party","CDU",3,1
"91",91,794,"religious_education","referendum",0.333333343267441,2,3,67,"male",1250,0.666666686534882,"some influence",3.33333325386047,3,2.5,4,3.5,"2011-03-22 17:46:44","2011-03-22 18:07:34",0,"SPD","SPD",4,0
"92",92,752,"religious_education","referendum",-2,1,5,45,"female",897,0,"some influence",2,4,1.5,4,4,"2011-03-22 13:44:58","2011-03-22 13:59:55",1,"Greens","no favoured party",0,0
"93",93,793,"central_exam","referendum",0,2,3,62,"male",2146,0,"strong influence",2.66666674613953,4,3,5,3,"2011-03-22 17:40:42","2011-03-22 18:16:28",0,"FDP","FDP",3,1
"94",94,806,"religious_education","party general",-3,1,5,49,"female",834,-0.666666686534882,"strong influence",3.33333325386047,2,3,5,2,"2011-03-22 19:08:39","2011-03-22 19:22:34",0,"CDU","CDU",3,1
"95",95,573,"religious_education","party general",-2,1,1,67,"male",651,0.666666686534882,"some influence",3,3,2.5,3.5,2.5,"2011-03-21 16:01:04","2011-03-21 16:11:56",0,"Left Party","Left Party",4,1
"96",96,612,"religious_education","CDU",-1,2,3,66,"female",1877,1.33333337306976,"strong influence",1.33333337306976,3.5,3,4.5,3,"2011-03-21 17:48:30","2011-03-21 18:19:47",1,"Greens","CDU",4,1
"97",97,816,"religious_education","CDU",-2.5,1,5,52,"male",796,0,"strong influence",3,3,1.5,3.5,3.5,"2011-03-22 20:28:46","2011-03-22 20:42:03",1,"Pirate Party","Left Party",3,1
"98",98,165,"central_exam","referendum",-0.333333343267441,2,2,30,"female",532,-0.333333343267441,"some influence",3.66666674613953,2.5,3,3.5,4.5,"2011-03-18 10:51:26","2011-03-18 11:00:18",0,"CDU","CDU",4,1
"99",99,408,"nuclear_energy","SPD",-1,2,3,26,"male",261,0.666666686534882,"strong influence",3,3,3,3,3,"2011-03-19 08:06:17","2011-03-19 08:10:38",0,"NPD","DVU/REP/NPD",5,1
"100",100,42,"central_exam","CDU",-1.66666662693024,2,4,31,"male",624,1.33333337306976,"some influence",3.66666674613953,2.5,2,4,4.5,"2011-03-17 16:53:15","2011-03-17 17:03:39",0,"SPD","SPD",4,1
"101",101,499,"central_exam","referendum",-1.5,2,3,43,"male",784,1,"strong influence",4,1.5,2.5,3.5,2,"2011-03-20 17:00:29","2011-03-20 17:13:33",0,"Greens","Greens",4,1
"102",102,453,"religious_education","experts",0,2,2,35,"female",1282,0,"some influence",3,2,4,3.5,2,"2011-03-19 16:32:59","2011-03-19 16:54:21",0,"CDU","FDP",4,1
"103",103,645,"central_exam","experts",-1.16666662693024,1,3,49,"female",769,1.33333337306976,"strong influence",4.33333349227905,2,4,3.5,4.5,"2011-03-21 19:31:04","2011-03-21 19:43:53",0,"Greens","Greens",4,1
"104",104,134,"central_exam","party general",-1,2,1,39,"male",504,0,"almost no influence",3.33333325386047,2.5,4,5,2.5,"2011-03-18 06:09:39","2011-03-18 06:18:03",1,"SPD","SPD",4,1
"105",105,783,"religious_education","referendum",-1.16666662693024,2,3,54,"female",843,1.33333337306976,"some influence",4,2,3,3.5,2,"2011-03-22 17:02:04","2011-03-22 17:16:07",NA,"SPD","SPD",3,1
"106",106,526,"nuclear_energy","SPD",-3,1,5,41,"female",395,0.333333343267441,"almost no influence",4,2.5,4.5,2,2,"2011-03-21 09:32:53","2011-03-21 09:39:28",1,"I would not vote","no favoured party",0,0
"107",107,755,"central_exam","party general",-2.16666674613953,1,5,44,"female",460,0.666666686534882,"strong influence",3.33333325386047,4.5,1.5,4.5,3.5,"2011-03-22 13:55:25","2011-03-22 14:03:05",1,"Pirate Party","other",3,0
"108",108,782,"central_exam","SPD",-0.333333343267441,2,1,40,"female",474,1,"some influence",4.33333349227905,3.5,1.5,5,3.5,"2011-03-22 16:58:24","2011-03-22 17:06:18",1,"I would not vote","no favoured party",0,0
"109",109,416,"central_exam","SPD",-0.666666686534882,1,1,40,"female",415,0.333333343267441,"no response",3.33333325386047,3,4,2.5,3.5,"2011-03-19 09:17:03","2011-03-19 09:23:58",0,"SPD","SPD",4,1
"110",110,344,"central_exam","party general",-0.5,2,3,19,"female",1181,1,"don't know",3.33333325386047,3,4,4.5,3,"2011-03-18 17:48:44","2011-03-18 18:08:25",0,"Greens","Greens",5,1
"111",111,145,"central_exam","experts",-0.16666667163372,2,1,31,"female",982,1.66666662693024,"some influence",4.66666650772095,3,1.5,3.5,3.5,"2011-03-18 08:52:16","2011-03-18 09:08:38",0,"Left Party","Left Party",4,1
"112",112,518,"nuclear_energy","CDU",-1,2,3,26,"female",1156,0,"some influence",2.33333325386047,3,2.5,2,5,"2011-03-20 20:50:26","2011-03-20 21:09:42",1,"SPD","Left Party",2,1
"113",113,303,"central_exam","experts",-0.333333343267441,2,3,53,"female",608,0.666666686534882,"some influence",3.66666674613953,3,4,4,4.5,"2011-03-18 15:52:54","2011-03-18 16:03:02",1,"Free Voters","CDU",3,1
"114",114,173,"religious_education","referendum",-0.16666667163372,2,2,53,"male",1521,1,"strong influence",3.33333325386047,3,2,4,3.5,"2011-03-18 11:24:29","2011-03-18 11:49:50",0,"Greens","SPD",4,1
"115",115,774,"religious_education","CDU",-1,2,5,42,"female",629,0.333333343267441,"strong influence",3.66666674613953,5,2,2,3,"2011-03-22 16:32:56","2011-03-22 16:43:25",0,"ddp","other",4,1
"116",116,774,"nuclear_energy","CDU",-1.83333337306976,1,5,42,"female",629,0.333333343267441,"strong influence",3.66666674613953,5,2,2,3,"2011-03-22 16:32:56","2011-03-22 16:43:25",0,"ddp","other",4,1
"117",117,760,"nuclear_energy","experts",-0.666666686534882,2,2,51,"female",609,1,"almost no influence",3.66666674613953,4,2,3,2,"2011-03-22 14:20:38","2011-03-22 14:30:47",0,"Left Party","Left Party",4,1
"118",118,779,"central_exam","SPD",-0.16666667163372,2,1,48,"male",973,0.333333343267441,"strong influence",3.66666674613953,3,2.5,4,3,"2011-03-22 16:52:30","2011-03-22 17:08:48",1,"Greens","Greens",4,0
"119",119,150,"religious_education","referendum",-1,2,2,46,"male",228,1.33333337306976,"some influence",2.66666674613953,2.5,2.5,3,2.5,"2011-03-18 09:25:58","2011-03-18 09:29:46",1,"Greens","Greens",3,0
"120",120,90,"religious_education","CDU",-0.666666686534882,1,2,38,"female",567,1,"almost no influence",3.66666674613953,1.5,3.5,4,2,"2011-03-17 19:32:37","2011-03-17 19:42:04",1,"FDP","FDP",1,0
"121",121,163,"nuclear_energy","party general",-0.5,2,4,39,"male",372,1,"some influence",3,4,3,4,3,"2011-03-18 10:47:15","2011-03-18 10:53:27",0,"CDU","CDU",3,1
"122",122,326,"nuclear_energy","SPD",-1,1,5,61,"male",710,0.333333343267441,"some influence",4,1.5,2,4.5,3.5,"2011-03-18 16:56:50","2011-03-18 17:08:40",0,"SPD","SPD",5,1
"123",123,561,"nuclear_energy","CDU",-1.83333337306976,1,4,44,"female",515,0.333333343267441,"some influence",3.66666674613953,3,4,3,3,"2011-03-21 14:37:50","2011-03-21 14:46:25",0,"Greens","SPD",3,1
"124",124,472,"central_exam","party general",-1,2,1,34,"male",698,0,"don't know",2.33333325386047,3.5,3.5,2.5,2.5,"2011-03-20 00:59:38","2011-03-20 01:11:16",0,"SPD","SPD",5,1
"125",125,771,"religious_education","experts",-1.33333337306976,1,3,53,"male",776,0.666666686534882,"some influence",4.33333349227905,5,3,4,4,"2011-03-22 16:11:14","2011-03-22 16:24:10",0,"CDU","CDU",4,1
"126",126,354,"religious_education","CDU",-2,1,4,41,"male",609,1,"some influence",3.33333325386047,4,3,2.5,3,"2011-03-18 18:37:27","2011-03-18 18:47:36",1,"REP","CDU",3,1
"127",127,762,"nuclear_energy","experts",-2.33333325386047,1,5,19,"female",587,1,"strong influence",3.33333325386047,3,4,3,4,"2011-03-22 14:51:15","2011-03-22 15:01:02",NA,"Greens","Greens",4,1
"128",128,316,"nuclear_energy","referendum",-0.16666667163372,2,3,58,"male",466,0,"some influence",3,3.5,2,3.5,2.5,"2011-03-18 16:36:08","2011-03-18 16:43:54",1,"Greens","Greens",3,1
