No,area,dealer,modelyear,grade,run,displ,AT,audio,navi,color,damage,precord,price
171,kyoto,1,2004,T,61270,1600,1,0,0,blue,0,0,101
172,osaka,0,2004,T,47305,1400,1,1,0,silver,1,0,113
173,kobe,0,2005,S,39862,1600,1,1,0,silver,0,0,122
174,kyoto,0,2007,G,77605,1800,1,1,0,silver,1,0,132
175,kobe,1,2006,T,64132,1600,1,1,1,brack,0,0,139
176,osaka,0,2006,G,57127,1400,1,1,1,silver,1,0,124
177,kobe,1,2007,G,13378,1400,1,1,0,silver,0,0,134
178,osaka,0,2007,G,45007,1800,1,0,0,white,1,0,116
179,kyoto,1,2001,G,56379,1600,1,1,1,blue,2,0,114
180,osaka,0,2008,T,6609,1600,1,1,1,silver,0,0,172
181,kobe,1,2004,G,41262,1400,1,1,0,red,2,0,113
182,kobe,1,2003,S,25248,1600,1,0,1,white,0,0,124
183,kobe,1,2007,T,51805,1400,1,1,1,silver,3,0,116
184,osaka,0,2005,T,59801,1600,1,0,0,silver,1,0,119
185,kyoto,1,2002,S,61547,1400,0,1,0,blue,1,0,91
186,osaka,1,2005,T,64689,1800,1,1,0,brack,2,0,128
187,osaka,1,2006,G,71522,1600,1,1,1,silver,0,0,123
188,osaka,0,2005,G,23105,1800,1,1,1,blue,3,0,125
189,kyoto,0,2006,G,15199,1400,1,0,1,silver,0,0,153
190,osaka,1,2008,T,31297,1800,1,1,0,red,1,0,131
191,kyoto,1,2005,S,40140,1800,1,1,0,blue,1,0,103
192,kobe,1,2008,T,44864,1400,1,0,1,silver,0,0,144
193,kyoto,0,2001,T,74763,1800,0,1,0,silver,1,0,99
194,kyoto,1,2004,G,29205,1800,1,1,0,silver,0,0,131
195,kobe,0,2007,GX,30777,1600,1,1,1,white,0,0,147
196,kyoto,0,2008,G,69176,1800,1,1,0,brack,0,1,128
197,kyoto,1,2008,GX,7743,1400,1,1,0,white,0,0,126
198,kobe,0,2007,T,34516,1400,1,1,0,white,0,0,121
199,kobe,0,2004,G,74867,1800,1,1,0,brack,0,0,142
200,kobe,0,2003,G,67917,1600,1,1,0,white,0,0,99
201,kobe,1,2007,GX,41491,1600,1,1,1,white,2,0,133
202,kyoto,0,2001,T,58579,1400,1,1,0,white,0,0,116
203,kobe,1,2008,GX,71466,1400,1,1,1,blue,1,0,124
204,osaka,1,2000,S,43777,1600,1,1,0,brack,0,0,99
205,kyoto,0,2008,S,69985,1800,1,0,0,white,3,0,111
206,kyoto,0,2008,T,19465,1400,1,0,0,white,1,0,121
207,kyoto,1,2008,S,25399,1400,1,1,0,silver,1,0,118
208,osaka,0,2006,G,27189,1800,1,1,1,blue,0,0,136
209,osaka,0,2003,G,56339,1400,1,1,1,brack,3,0,113
210,osaka,1,2007,G,15349,1800,1,1,0,brack,0,0,140
211,osaka,0,2001,T,25795,1600,1,0,1,white,0,1,90
212,osaka,0,2000,S,69481,1600,1,1,1,silver,0,0,103
213,kyoto,0,2001,S,12909,1800,1,1,0,brack,1,0,125
214,osaka,1,2004,G,38721,1400,1,0,1,brack,0,0,132
215,kyoto,1,2006,T,8837,1400,1,1,0,white,2,1,104
216,osaka,0,2006,S,59540,1800,1,0,1,brack,0,0,122
217,kyoto,1,2000,S,25281,1800,1,1,0,brack,0,0,113
218,osaka,0,2006,GX,3986,1400,1,1,0,brack,2,0,132
219,kyoto,1,2001,G,3148,1400,1,1,1,brack,1,0,119
220,kobe,0,2004,T,10134,1600,1,1,0,blue,0,0,113
221,kyoto,1,2001,T,16110,1600,1,1,0,white,5,0,75
222,kyoto,0,2002,G,13009,1800,1,1,0,white,0,0,133
223,kyoto,0,2007,T,1739,1800,1,0,0,silver,1,0,128
224,osaka,0,2008,S,76896,1600,1,1,0,silver,0,0,114
225,osaka,0,2002,GX,70142,1400,1,0,0,brack,2,0,99
226,kobe,0,2005,G,33333,1400,1,0,0,white,5,0,100
227,osaka,0,2001,G,37958,1800,1,1,1,brack,0,0,130
228,osaka,0,2005,GX,53482,1800,1,0,0,silver,4,0,110
229,kyoto,1,2001,GX,66088,1800,1,1,1,white,0,0,139
230,kobe,0,2003,T,25759,1600,1,1,1,white,0,0,126
231,kobe,1,2007,GX,14903,1800,1,1,0,white,1,0,128
232,kyoto,1,2007,G,14543,1400,1,1,1,white,2,1,106
233,osaka,0,2002,T,60876,1400,1,1,0,brack,2,0,91
234,kyoto,1,2008,S,36195,1800,1,1,0,white,2,0,119
235,osaka,1,2006,GX,55595,1400,1,1,0,white,0,0,138
236,kyoto,0,2006,S,8005,1400,1,1,0,silver,4,0,116
237,kyoto,1,2000,GX,41447,1400,1,1,0,brack,2,0,117
238,kyoto,0,2001,T,37691,1600,1,1,0,blue,1,0,112
239,osaka,1,2001,GX,1283,1400,1,1,1,brack,0,0,149
240,kobe,1,2004,T,21661,1600,1,1,0,brack,0,0,124
241,kobe,0,2000,S,63422,1400,1,1,0,brack,0,0,121
242,kobe,1,2003,GX,8207,1800,1,0,0,white,0,0,144
243,kyoto,1,2008,T,47717,1600,1,1,0,white,2,0,124
244,kobe,1,2007,GX,78501,1400,1,0,0,silver,0,0,108
245,osaka,0,2007,GX,32299,1800,1,1,1,silver,1,0,128
246,kobe,0,2002,G,64831,1800,1,1,0,silver,5,0,86
247,kyoto,0,2000,G,16598,1600,1,1,1,brack,0,0,139
248,osaka,0,2000,S,33509,1400,0,1,1,silver,0,0,119
249,kobe,1,2003,GX,56349,1600,1,1,1,white,0,0,123
250,kobe,1,2001,G,38413,1600,1,0,0,silver,1,0,92
251,osaka,1,2002,G,28822,1600,1,0,0,white,1,0,116
252,osaka,0,2002,G,64308,1600,1,1,0,white,1,0,92
253,kyoto,1,2002,G,64828,1600,1,1,0,brack,0,0,123
254,osaka,1,2005,G,25878,1600,1,0,0,brack,2,0,115
255,kobe,0,2008,GX,49796,1800,1,1,0,silver,0,0,132
256,kyoto,1,2006,G,44676,1800,1,1,1,white,2,0,113
257,kobe,0,2000,S,23423,1800,1,1,1,blue,0,0,122
258,kyoto,0,2001,GX,31307,1800,1,1,0,brack,3,0,117
259,kyoto,0,2002,GX,68057,1600,1,1,0,brack,2,1,90
260,kobe,0,2001,S,54431,1600,1,1,0,silver,1,0,110
261,kyoto,1,2008,T,40482,1800,1,0,0,white,1,0,137
262,kobe,1,2008,GX,4493,1800,1,1,1,blue,0,0,169
263,kobe,0,2001,T,48348,1400,1,0,0,brack,2,0,97
264,osaka,1,2003,GX,42939,1600,1,1,0,blue,2,0,96
265,kobe,1,2004,GX,33943,1600,1,0,0,white,0,0,130
266,kobe,0,2008,S,72761,1800,1,0,1,white,1,0,149
267,osaka,1,2006,S,64905,1600,1,1,0,white,0,0,110
268,kyoto,1,2004,S,27573,1800,1,1,0,brack,0,0,123
269,kobe,1,2008,S,57942,1800,1,1,0,silver,1,0,111
270,osaka,1,2006,T,21447,1400,1,1,0,blue,1,0,92
271,kobe,0,2002,S,9925,1400,1,1,0,silver,1,0,117
272,osaka,1,2000,GX,321,1600,1,1,0,silver,1,0,145
273,kyoto,1,2007,T,64173,1800,1,0,0,brack,0,0,126
274,kyoto,1,2001,GX,73407,1800,1,1,0,white,0,0,119
275,kyoto,1,2002,GX,21160,1400,1,1,1,silver,0,0,113
276,kobe,1,2000,GX,8178,1600,1,0,0,silver,0,0,116
277,kyoto,1,2005,T,5191,1600,1,0,1,silver,1,0,130
278,osaka,1,2005,G,13737,1600,1,0,0,silver,0,0,127
279,kobe,0,2005,G,68671,1600,1,1,0,white,0,0,122
280,kobe,1,2004,G,6706,1400,1,0,0,white,0,0,117
281,kobe,0,2006,S,22453,1800,0,1,0,blue,0,0,109
282,kobe,0,2002,G,35943,1600,1,1,0,brack,0,1,100
283,osaka,0,2005,GX,29750,1400,1,1,0,white,1,0,122
284,osaka,1,2005,S,73804,1800,1,0,0,brack,1,1,102
285,osaka,0,2002,T,1105,1600,1,1,0,silver,1,0,120
286,kyoto,0,2001,T,74814,1400,1,1,0,white,0,0,89
287,kobe,1,2005,G,4684,1800,1,0,0,silver,0,0,149
288,kyoto,0,2004,S,24709,1600,1,1,0,white,4,0,86
289,kyoto,0,2004,T,53350,1800,1,1,0,white,0,0,120
290,osaka,1,2007,S,57118,1600,1,1,1,white,0,0,119
291,kobe,0,2008,S,68145,1800,1,1,0,blue,2,1,96
292,kobe,1,2007,S,57362,1800,1,1,1,white,0,0,142
293,kyoto,0,2005,T,8664,1600,1,1,0,red,3,0,146
294,kyoto,1,2007,G,29945,1600,1,1,1,silver,0,0,128
295,kyoto,1,2001,T,2611,1400,1,1,1,silver,1,0,119
296,kyoto,1,2006,S,52294,1400,1,1,1,brack,0,0,131
297,osaka,1,2001,T,31946,1600,1,0,0,silver,1,0,121
298,osaka,0,2008,S,22912,1400,1,0,0,silver,1,0,135
299,osaka,1,2005,GX,3428,1600,1,1,0,blue,4,0,107
300,kyoto,0,2001,GX,59656,1600,1,1,0,white,0,0,116
301,osaka,1,2007,G,43391,1800,1,1,1,silver,1,0,149
302,kyoto,1,2001,GX,45399,1600,1,1,0,brack,1,1,109
303,kyoto,0,2003,S,4811,1800,1,0,1,silver,0,0,144
304,osaka,1,2003,G,38937,1800,1,0,1,white,1,0,124
305,kyoto,0,2007,S,29160,1800,1,1,0,white,1,1,115
306,kobe,1,2005,GX,66585,1800,1,1,0,silver,0,0,136
307,kobe,1,2006,T,43308,1800,1,1,1,white,2,0,122
308,kobe,1,2005,T,23669,1600,1,0,0,white,0,0,111
309,osaka,0,2002,S,53877,1800,1,1,0,white,0,0,95
310,kobe,0,2003,GX,64603,1600,1,0,0,white,1,0,121
311,osaka,1,2005,T,52792,1800,1,1,1,white,0,0,140
312,kyoto,1,2000,GX,38017,1800,0,0,0,white,0,0,104
313,kobe,0,2005,GX,76986,1800,1,1,0,blue,1,0,108
314,kyoto,1,2001,S,35366,1800,1,1,0,white,0,0,107
315,osaka,1,2004,GX,30878,1600,1,0,0,red,0,0,123
316,kyoto,0,2003,S,45295,1400,1,1,0,silver,0,0,121
317,kyoto,1,2008,T,64025,1600,1,1,0,silver,0,0,138
318,osaka,0,2005,S,23213,1800,1,1,0,silver,1,0,114
319,kobe,1,2006,S,59912,1400,1,1,0,silver,1,0,108
320,kyoto,1,2006,T,34093,1400,1,1,0,silver,2,0,118
321,kobe,0,2005,GX,34619,1600,1,0,0,brack,1,0,126
322,osaka,1,2006,T,74767,1400,1,1,0,silver,0,0,131
323,kyoto,1,2000,G,56750,1600,1,0,1,white,1,0,118
324,kobe,0,2008,S,67983,1600,1,1,0,silver,1,0,132
325,osaka,0,2006,T,38909,1600,1,1,0,brack,1,0,132
326,kyoto,0,2007,T,3866,1400,1,1,0,silver,1,0,140
327,osaka,1,2008,GX,10404,1400,1,1,1,white,0,0,147
328,kobe,0,2001,GX,2514,1400,1,0,1,brack,2,0,123
329,osaka,0,2004,S,52443,1600,1,1,0,silver,1,0,122
330,kyoto,1,2008,GX,32135,1400,1,1,1,brack,0,0,167
331,kobe,0,2008,G,26031,1400,1,1,1,white,1,0,136
332,kyoto,1,2003,S,76534,1800,1,1,0,brack,1,0,112
333,osaka,1,2004,G,64751,1800,1,0,1,white,3,1,90
334,kobe,0,2003,S,59006,1800,1,1,1,silver,1,0,131
335,osaka,1,2004,S,32745,1600,1,1,0,silver,0,0,121
336,kobe,0,2003,G,24951,1400,1,0,0,blue,0,0,97
337,kobe,1,2007,GX,37469,1600,1,1,1,white,0,0,160
338,kobe,0,2005,GX,55366,1800,1,1,0,silver,2,0,121
339,osaka,0,2000,S,5693,1800,1,1,1,white,1,0,124
340,kyoto,0,2001,T,26987,1800,0,1,1,silver,0,0,139
341,kobe,1,2001,GX,21765,1800,1,1,1,silver,0,0,131
342,osaka,1,2004,GX,29019,1600,1,0,0,blue,2,0,114
343,kobe,1,2005,S,78870,1400,1,1,1,brack,1,0,137
344,osaka,1,2005,GX,15792,1600,1,1,0,blue,1,0,105
345,kyoto,1,2000,T,28162,1600,1,1,0,brack,0,0,116
346,kyoto,1,2007,GX,34505,1400,1,1,0,brack,1,0,129
347,osaka,1,2002,T,45369,1800,1,1,0,blue,1,0,108
348,osaka,1,2005,S,36873,1600,1,0,1,brack,3,0,114
349,kobe,1,2007,S,64990,1800,1,1,0,white,0,0,115
350,osaka,1,2002,S,65583,1800,1,1,1,silver,0,0,120
351,osaka,0,2003,T,48873,1800,1,1,0,red,5,0,126
352,kyoto,0,2002,GX,53343,1400,1,1,0,silver,0,0,107
353,kobe,1,2001,GX,10601,1600,1,0,0,red,4,0,98
354,kyoto,1,2004,T,43520,1800,1,1,0,white,3,0,102
355,osaka,0,2008,S,11806,1600,1,0,0,white,1,0,116
356,kyoto,1,2001,T,58914,1800,1,1,0,red,0,0,113
357,kobe,0,2003,T,1379,1800,1,0,0,brack,0,0,156
358,osaka,1,2000,G,35667,1800,1,0,0,brack,2,0,105
359,kyoto,1,2004,G,25002,1800,1,0,0,white,1,0,124
360,osaka,1,2004,G,52519,1800,0,1,0,white,0,0,120
361,osaka,0,2001,T,8512,1400,1,1,0,silver,0,0,123
362,osaka,0,2001,T,59216,1800,1,1,0,silver,0,0,117
363,kobe,0,2008,S,56812,1800,1,0,0,red,1,0,114
364,osaka,0,2008,G,54584,1800,1,1,0,white,3,0,109
365,osaka,1,2006,S,79948,1800,0,1,1,silver,1,0,119
366,osaka,1,2007,GX,5364,1400,1,1,1,white,1,0,134
367,kobe,0,2003,T,21701,1800,1,1,0,blue,1,0,112
368,osaka,1,2008,G,29473,1400,1,0,0,silver,2,0,134
369,osaka,1,2006,GX,31401,1800,1,1,1,brack,1,0,151
370,kyoto,0,2003,T,31562,1400,1,1,0,red,0,0,142
371,kobe,1,2000,S,53176,1600,1,1,1,blue,0,0,109
372,kyoto,1,2000,GX,38802,1400,1,1,0,white,1,0,110
373,osaka,1,2005,T,56832,1800,1,1,0,brack,1,1,94
374,kobe,1,2003,S,2269,1600,1,1,0,brack,1,0,131
375,kyoto,0,2002,T,29747,1400,1,1,1,brack,0,0,125
376,kobe,1,2006,GX,8998,1600,1,1,1,silver,0,0,146
377,kobe,0,2004,G,69627,1400,1,1,0,blue,0,0,94
378,osaka,1,2008,GX,1542,1400,1,1,0,white,0,0,144
379,kobe,1,2000,G,57522,1400,1,1,0,brack,0,0,92
380,kobe,0,2001,GX,10469,1400,0,1,1,brack,1,0,125
381,osaka,0,2007,GX,36472,1600,1,0,0,red,0,0,160
382,kyoto,0,2008,G,15569,1600,1,1,0,brack,0,0,143
383,kobe,1,2003,GX,47508,1400,1,1,1,blue,0,0,123
384,osaka,1,2005,T,54520,1600,1,1,0,silver,0,0,115
385,kobe,1,2006,S,2105,1800,1,1,0,brack,0,0,148
386,kyoto,1,2004,GX,20026,1400,1,1,0,brack,1,0,144
387,kyoto,0,2003,GX,79505,1600,1,1,0,silver,1,0,110
388,osaka,0,2006,S,58339,1600,1,1,1,silver,0,0,139
389,kyoto,0,2007,GX,26054,1600,1,1,0,silver,0,0,143
390,kobe,0,2005,T,5322,1600,1,0,0,silver,0,0,115
391,osaka,1,2008,T,74473,1400,1,1,0,silver,0,0,141
392,osaka,0,2002,T,13628,1800,1,1,0,silver,0,0,132
393,osaka,0,2001,GX,55009,1400,1,1,0,white,2,0,75
394,osaka,0,2003,S,70493,1400,1,1,0,white,0,0,103
395,kobe,0,2002,S,54018,1400,1,0,0,red,1,0,104
396,kyoto,1,2008,G,53243,1800,1,1,0,white,1,0,140
397,osaka,1,2005,S,34929,1800,1,1,1,silver,0,0,139
398,osaka,0,2003,T,14094,1400,0,1,0,white,0,0,118
399,kyoto,1,2000,T,71828,1800,0,1,0,brack,1,0,125
400,kobe,0,2008,T,43420,1600,1,1,1,blue,1,0,161
401,kobe,0,2002,G,14325,1800,1,1,0,blue,3,0,113
402,kyoto,0,2008,G,75703,1600,1,0,1,silver,1,0,143
403,osaka,0,2000,G,70246,1800,1,1,0,brack,5,0,84
404,osaka,0,2008,GX,11228,1800,1,1,0,brack,0,0,179
405,osaka,0,2006,G,9200,1600,1,1,0,brack,0,0,130
406,kobe,0,2004,GX,17329,1400,1,1,1,white,1,0,147
